"id","department","role","level","location","status","posted_date","offered_date","expected_tat","hr_name","row_order","created_at","updated_at"
"0CVKoMjyblrDXA7YZTqo","Customer Success","Growth Consultant","Entry level","Mumbai","Joined","20-11-2025","7-1-2026",30,"",31,"2026-03-23T08:21:49.154Z",
"0Gstb2oJ1M8DQAG5xaWg","Sales","KAM - Sr Growth Consultant","Mid level","Bangalore","Open","3-3-2026",,45,"",65,"2026-03-23T08:21:49.192Z",
"0SJ7uSSUm9OYlboyyY2U","Customer Success","Growth Consultant","Entry level","Mumbai","Open","16-12-2025",,30,"",59,"2026-03-23T08:21:49.185Z",
"1817kaYTJjORxv1o7tMs","Customer Success","Senior Growth Consultant","Mid level","Bangalore","Offered","23-10-2025","06-02-2026",45,"",26,"2026-03-23T08:21:49.149Z",
"2OMWW5UOAwUYWOpeIayK","Sales","KAM","Senior level","Bangalore","Joined","12-11-2025","12-12-2025",90,"",61,"2026-03-23T08:21:49.187Z",
"31P29FkUFi84vi09jYNB","Professional Services","Software Egineer","Entry level","Bangalore","Joined","05-12-2025","17-02-2025",30,"",34,"2026-03-23T08:21:49.157Z",
"3GLZKTX0ViiJHsp2z2gd","Sales","Business Development Executive","Mid level","Bangalore","Open","18-03-2026",,45,"",92,"2026-03-23T08:21:49.221Z",
"3QfLZk2cezxlJdWjlAMp","Customer Success","Senior Growth Consultant","Mid level","Mumbai","Joined","24-09-2025","11-12-2025",45,"",14,"2026-03-23T08:21:49.135Z",
"3aHK1GKhBepWDEHHGWbO","BAT","Support Consultant (BAT)","Entry level","Bangalore","Joined","9-5-2025","28-11-2025",30,"",35,"2026-03-23T08:21:49.158Z",
"3qTdZDFhMsjAK7iT5pZq","HR","HR Executive","Entry level","Bangalore","Open","07-11-2025",,30,"",17,"2026-03-23T08:21:49.139Z",
"4RYI60BXWMeNlCSSQHc7","BAT","Support Consultant (BAT)","Entry level","Bangalore","Joined","4-12-2025","10-02-2026",30,"",32,"2026-03-23T08:21:49.155Z",
"4bX70BohvFLkMV0CTCrv","KAM","Content Marketing Manager","Mid level","Bangalore","Open","13-03-2026",,45,"",96,"2026-03-23T08:21:49.225Z",
"4yrhsYLGALSMqrUbmAbP","Customer Success","Business operations intern","Entry level","Bangalore","Joined","19-08-2025","25-09-2025",30,"",27,"2026-03-23T08:21:49.150Z",
"5m9yjXOMGcfpDhTekmCZ","SME","BDM","Entry level","Bangalore","Open","11-12-2025",,30,"",7,"2026-03-23T08:21:49.127Z",
